EX_cpd00013_b,EX_cpd00063_b,EX_cpd00027_b,EX_cpd00254_b,EX_cpd10516_b,EX_cpd00009_b,EX_cpd00205_b,EX_cpd00048_b,EX_cpd00011_b,EX_cpd00067_b,EX_cpd00001_b,EX_cpd00007_b,growth rate,cost,production rate,is pareto,n_candidates
3.413932312085195,1.866972826720944,5.225396339712716,5.683817925372738,5.827761361494689,0.2701742823173092,1.495212777282393,3.5967351358123203,1.6696932333718995,8.342887686334432,1.254049011431122,3.4468629757797276,0.26452604,324.13522,1e-04,False,10
4.35222638554848,7.544198399357719,5.630965171497127,9.6467018816773,2.753628459292271,22.091316153865343,13.806640134091046,0.8338623210360396,7.866291199425164,2.762826712837928,0.04072715668757887,7.351927250831736,0.2492576,1229.5042,1e-04,False,10
1.3659658876648295,2.0104240555567032,5.176295024818964,4.938063283426608,8.066692719953632,4.959850989200532,2.643615344879855,1.5964569927274985,5.4983795919234515,1.0039006116334925,4.195702671367481,13.980574204377909,0.16937405,387.19284,1e-04,False,10
6.922757396294193,9.340133140481944,7.074921098359321,0.32457887412082,8.113906284484216,6.466006659546614,10.226976233867244,1.9213733772292174,7.199171634373366,3.7351892597949163,2.191514521656389,2.6441157747903232,0.3138612,701.85583,1e-04,False,10
8.849757496669232,3.2007039726671893,1.900587968042967,4.666622234934058,6.791427609171943,47.245944659458615,19.77578974632412,5.320763749854129,5.524923866886744,0.19366127873523653,9.777236764355655,13.858023546915003,0.17402686,1871.9001,1e-04,False,10
5.351920333420502,5.20071094217019,7.231733219998684,7.228696028679845,6.449490194957166,9.334234072801117,14.23861754902364,2.127095553539605,9.704741624453991,0.23675301667735793,5.110529965867326,7.476107106001598,0.29236898,898.71893,1e-04,False,10
2.233558328376776,4.4023533456335056,6.8174623107138235,6.590164814374335,6.6305038616950975,30.74617650452055,6.451079614576605,1.9704977414064928,6.693332201942244,6.938020746244177,2.7870167834230797,4.680990594569405,0.27720448,1173.7915,1e-04,False,10
0.4854506653022772,1.5899129740293227,5.752562254380155,8.693698734507523,1.6876271613776306,36.802453120836866,9.113057349729758,3.3315815889198808,8.16903046236734,9.087155274863662,6.070890831752669,3.418733362046058,0.059937477,1359.9857,1e-04,False,10
4.985984556576815,4.138125294868161,3.1667483329399193,2.817500219542569,1.8989475977009906,44.05475876645965,7.7836688166203345,3.8773398488071766,0.0009778141922689443,7.7470897797741545,8.969460562410026,0.3129174316427519,0.16276236,1471.83,1e-04,False,10
7.527398450671368,4.4862375979345925,4.161498532208691,8.301270198242907,7.927293246215271,34.08027103689798,2.7819921140157677,7.40219559541731,1.3083520227671375,1.950718455307383,7.746627580917822,10.749153252984517,0.2454182,1346.423,1e-04,False,10
4.599631347209197,2.5903197523358745,1.8470762158041791,0.9379097693528782,0.36931538810242026,5.158562947670914,3.629348378206889,1.1325972064373802,7.842737502825614,1.0993341097033094,7.800295410645242,16.782005759068582,0.12964356,343.62387,1e-04,False,10
0.09267986379749238,7.308495375542561,1.1238224338345737,0.8666973557433455,1.2654864299583912,39.017967860185756,18.454320674624157,4.587656795787072,2.8908949574381193,0.027540812608474186,2.4416666151689945,7.898343514820468,0.011121182,1544.3179,1e-04,False,10
2.7449069576835927,9.700214937160363,7.691901142273297,8.162081601698745,7.456998825458916,46.205251917409,16.716063276945007,8.277021475107471,4.667270563834501,4.762492164866641,7.342749290066848,19.428068922717998,0.3008233,2007.9603,1e-04,False,10
4.654033949874724,2.9689834278265668,5.959664086641417,8.47525709479539,5.811553572221728,16.268238752631873,14.502188015031836,6.88893248024516,7.059545484739108,1.7907167943129287,6.455079301241,2.6706465443394856,0.24635388,1124.0544,1e-04,False,10
0.02187902368509076,7.661344027473107,1.8445997828441372,0.5716932044966583,7.988973890546678,41.82759564727883,16.99777392803247,2.778049966165088,0.29139272902095614,9.317286076161773,0.11306770106664144,15.385982847408178,0.0023215595,1551.5326,1e-04,False,10
5.286203071152071,2.6539526301617533,4.252412548251812,5.0258640643941055,6.128753847304617,1.4802644349712235,19.140645329473674,0.2796971894417666,3.584424350066713,1.1083641375358033,1.015399071708778,12.183305422146375,0.21036951,669.5724,1e-04,False,10
9.634160094692469,8.202988218089537,8.39308869437906,9.537801165059134,6.8915234795360325,33.662494726023404,1.1427675197435283,2.2581244974466665,7.128497112343809,7.542246726459441,0.39004262760717223,0.9956402701577338,0.39934197,1349.1012,1e-04,False,10
8.569539679904597,4.187286957301959,7.589346476096652,4.964177735079032,2.939742253032022,16.979747388648935,14.073665287467456,3.938298290104152,5.790416355260738,6.964131364708917,7.520253404088296,15.312189475596067,0.39942923,1082.3064,1e-04,False,10
4.960367044385937,7.743723364734292,9.845259671227549,3.221400417510237,0.4100007033314157,38.72699849755358,6.045627312995592,5.820605446776618,4.42968891159224,2.8951084718418096,5.714218130905831,17.824026059035074,0.38282174,1472.329,1e-04,False,10
2.4729047709048215,9.042610538835534,9.692575580490386,5.084383224393124,0.3220509123593496,48.56521129786551,18.595684348527836,8.919579773531801,1.6852505031242093,4.602043559952059,7.931104919583629,16.173654516823643,0.30695215,2056.0422,1e-04,False,10
8.209079748132169,5.643118086536473,2.986972048317582,9.128378152170995,0.7230566547991746,5.748986995466216,10.34769854073016,2.7842655280479045,7.64366390838642,0.1380131762197001,8.116839597773478,10.049811760919027,0.19725792,785.8897,1e-04,False,10
1.5268510813903036,3.771833907311175,8.16278562085866,7.617943366419192,0.36509181052364337,25.2109585235678,8.353774592455823,5.930898404960782,4.682792740615119,9.466370908538442,2.057284280973227,6.701129827754755,0.18936999,1170.3214,1e-04,False,10
